model,n_parameters,hostname,runtime_engine,floatx,batch_size,device,runs_per_second_mean,runs_per_second_std,n_runs,abs_err_to_pytorch_mean,abs_err_to_pytorch_std
mobilenetv2_small_additional_dense_pretrained,899695,jetson-X-01,tensorrt_6.0.1.10,16,20,gpu,164.12011913226993,3.8370364135061554,100,0.017960215,0.004587377
mobilenetv2_large_additional_dense_pretrained,2888263,jetson-X-01,pytorch_1.4.0,32,20,gpu,20.661788540999115,0.06896897504866661,100,-1,-1
mobilenetv2_large_additional_dense_pretrained,2888263,jetson-X-01,tensorrt_6.0.1.10,32,20,gpu,39.47603664432291,0.37019229079637817,100,7.3409306e-06,1.4464059e-06
mobilenetv2_large_additional_dense_pretrained,2888263,jetson-X-01,tensorrt_6.0.1.10,16,20,gpu,81.41707271286045,1.400476957765635,100,0.017712047,0.004088711
efficientnet_b0_additional_dense_pretrained,4670851,jetson-X-01,pytorch_1.4.0,32,20,gpu,13.239418925459677,0.022691182159276107,100,-1,-1
efficientnet_b0_additional_dense_pretrained,4670851,jetson-X-01,tensorrt_6.0.1.10,32,20,gpu,15.684547205818241,0.03773837943643564,100,2.1135165e-06,6.378289e-07
efficientnet_b0_additional_dense_pretrained,4670851,jetson-X-01,tensorrt_6.0.1.10,16,20,gpu,22.15081766015195,0.07707934031677699,100,0.009240343,0.0029635993
efficientnet_b1_additional_dense_pretrained,7176487,jetson-X-01,pytorch_1.4.0,32,20,gpu,9.358652280462634,0.011058070071618133,100,-1,-1
efficientnet_b1_additional_dense_pretrained,7176487,jetson-X-01,tensorrt_6.0.1.10,32,20,gpu,11.07399069962604,0.017872009891802022,100,3.1724744e-06,9.701587e-07
efficientnet_b1_additional_dense_pretrained,7176487,jetson-X-01,tensorrt_6.0.1.10,16,20,gpu,15.748873986330523,0.03917401835911514,100,0.010625381,0.003183012
resnet18_additional_dense_pretrained,11442759,jetson-X-01,pytorch_1.4.0,32,20,gpu,18.780471874588503,0.06321300275945753,100,-1,-1
resnet18_additional_dense_pretrained,11442759,jetson-X-01,tensorrt_6.0.1.10,32,20,gpu,21.68777970239389,0.06683392686874001,100,1.6636809e-06,5.4287267e-07
resnet18_additional_dense_pretrained,11442759,jetson-X-01,tensorrt_6.0.1.10,16,20,gpu,78.3523722474145,0.9976498903624159,100,0.0053808694,0.0017290071
resnet34_additional_dense_pretrained,21550919,jetson-X-01,pytorch_1.4.0,32,20,gpu,10.477737134866835,0.016610506919393878,100,-1,-1
resnet34_additional_dense_pretrained,21550919,jetson-X-01,tensorrt_6.0.1.10,32,20,gpu,11.721917299615193,0.014230218610568276,100,2.64886e-06,8.9808805e-07
resnet34_additional_dense_pretrained,21550919,jetson-X-01,tensorrt_6.0.1.10,16,20,gpu,46.21153433641104,0.47570382597584326,100,0.0068594143,0.0023068287
resnet50_additional_dense_pretrained,24568391,jetson-X-01,pytorch_1.4.0,32,20,gpu,6.247700276424487,0.007460802048961249,100,-1,-1
resnet50_additional_dense_pretrained,24568391,jetson-X-01,tensorrt_6.0.1.10,32,20,gpu,8.58351431022806,0.0115535766684393,100,9.295051e-07,2.9557182e-07
resnet50_additional_dense_pretrained,24568391,jetson-X-01,tensorrt_6.0.1.10,16,20,gpu,33.099444846186195,0.22576500357396376,100,0.0043189414,0.0012673629
resnext50_additional_dense_pretrained,24040263,jetson-X-01,pytorch_1.4.0,32,20,gpu,4.556461940375161,0.0032571170199293537,100,-1,-1
resnext50_additional_dense_pretrained,24040263,jetson-X-01,tensorrt_6.0.1.10,32,20,gpu,6.172335489346184,0.008225718913787497,100,1.1226083e-06,3.4940192e-07
resnext50_additional_dense_pretrained,24040263,jetson-X-01,tensorrt_6.0.1.10,16,20,gpu,19.87558209032973,0.10227277888503654,100,0.005491133,0.0016527816
beyer_mod_relu_depth_126_48,787087,jetson-X-01,pytorch_1.4.0,32,50,gpu,37.9885899899973,0.06911039302322042,100,-1,-1
beyer_mod_relu_depth_126_48,787087,jetson-X-01,tensorrt_6.0.1.10,32,50,gpu,92.12043690616669,0.24511963152883173,100,7.349439e-09,3.522974e-09
beyer_mod_relu_depth_126_48,787087,jetson-X-01,tensorrt_6.0.1.10,16,50,gpu,168.97795786997654,1.7924561224673181,100,0.00011305543,3.8802777e-05
mobilenetv2_small_additional_dense_pretrained,899695,jetson-X-01,pytorch_1.4.0,32,50,gpu,28.09420368537878,0.17179450477467273,100,-1,-1
mobilenetv2_small_additional_dense_pretrained,899695,jetson-X-01,tensorrt_6.0.1.10,32,50,gpu,52.618796224157066,0.6614425146058964,100,4.1911217e-06,1.1765386e-06
mobilenetv2_small_additional_dense_pretrained,899695,jetson-X-01,tensorrt_6.0.1.10,16,50,gpu,71.46153529933382,1.3208479452435173,100,0.022040455,0.0051698806
mobilenetv2_large_additional_dense_pretrained,2888263,jetson-X-01,pytorch_1.4.0,32,50,gpu,8.568518908519243,0.01753563195738085,100,-1,-1
mobilenetv2_large_additional_dense_pretrained,2888263,jetson-X-01,tensorrt_6.0.1.10,32,50,gpu,16.267922017771557,0.07618313935722992,100,6.358346e-06,1.3438391e-06
mobilenetv2_large_additional_dense_pretrained,2888263,jetson-X-01,tensorrt_6.0.1.10,16,50,gpu,34.116262117361195,0.27746604709176687,100,0.02492695,0.0057665715
efficientnet_b0_additional_dense_pretrained,4670851,jetson-X-01,pytorch_1.4.0,32,50,gpu,5.390095836211128,0.006881459151464036,100,-1,-1
efficientnet_b0_additional_dense_pretrained,4670851,jetson-X-01,tensorrt_6.0.1.10,32,50,gpu,5.100917934107441,1.0171761925024563,100,2.1517105e-06,6.6182747e-07
efficientnet_b0_additional_dense_pretrained,4670851,jetson-X-01,tensorrt_6.0.1.10,16,50,gpu,6.01382837942026,1.3876486231436005,100,0.010840741,0.0032488124
efficientnet_b1_additional_dense_pretrained,7176487,jetson-X-01,pytorch_1.4.0,32,50,gpu,3.822776458485464,0.005719289969202924,100,-1,-1
resnet18_additional_dense_pretrained,11442759,jetson-X-01,pytorch_1.4.0,32,50,gpu,4.952971613424014,1.7576352343727342,100,-1,-1
resnet18_additional_dense_pretrained,11442759,jetson-X-01,tensorrt_6.0.1.10,32,50,gpu,6.72796594394468,1.6658373481244775,100,1.5315879e-06,4.7611434e-07
resnet18_additional_dense_pretrained,11442759,jetson-X-01,tensorrt_6.0.1.10,16,50,gpu,32.50260349033276,0.4453367121961587,100,0.0056582647,0.0018104165
resnet34_additional_dense_pretrained,21550919,jetson-X-01,pytorch_1.4.0,32,50,gpu,3.96912471041512,0.007309109794720972,100,-1,-1
resnet34_additional_dense_pretrained,21550919,jetson-X-01,tensorrt_6.0.1.10,32,50,gpu,4.710481490638938,0.0069223651312718,100,2.29789e-06,7.3524893e-07
resnet34_additional_dense_pretrained,21550919,jetson-X-01,tensorrt_6.0.1.10,16,50,gpu,18.979754810191256,0.0948829719505063,100,0.008270038,0.0026081158
resnet50_additional_dense_pretrained,24568391,jetson-X-01,pytorch_1.4.0,32,50,gpu,2.4696205577250363,0.002900023813785651,100,-1,-1
resnet50_additional_dense_pretrained,24568391,jetson-X-01,tensorrt_6.0.1.10,32,50,gpu,3.46124855449672,0.004950212632072199,100,8.7720576e-07,2.826841e-07
resnet50_additional_dense_pretrained,24568391,jetson-X-01,tensorrt_6.0.1.10,16,50,gpu,10.457299316270175,3.2856775009134824,100,0.003786712,0.0011242505
resnext50_additional_dense_pretrained,24040263,jetson-X-01,pytorch_1.4.0,32,50,gpu,1.855875690261936,0.0015455499478783028,100,-1,-1
resnext50_additional_dense_pretrained,24040263,jetson-X-01,tensorrt_6.0.1.10,32,50,gpu,2.121471526715945,0.01285217045466864,100,1.1164785e-06,3.3797673e-07
resnext50_additional_dense_pretrained,24040263,jetson-X-01,tensorrt_6.0.1.10,16,50,gpu,5.087720010303446,0.5125016477754416,100,0.0051089874,0.0015168759
beyer_mod_relu_depth_126_48,787087,gigabook1,pytorch_1.2.0,32,10,cpu,35.87465388225055,2.388461759725625,100,-1,-1
mobilenetv2_small_additional_dense_pretrained,899695,gigabook1,pytorch_1.2.0,32,10,cpu,13.152602156062635,0.2661934476043891,100,-1,-1
mobilenetv2_large_additional_dense_pretrained,2888263,gigabook1,pytorch_1.2.0,32,10,cpu,1.962640934899668,0.055964049747911464,100,-1,-1
efficientnet_b0_additional_dense_pretrained,4670851,gigabook1,pytorch_1.2.0,32,10,cpu,2.257618158693856,0.06907212937129421,100,-1,-1
efficientnet_b1_additional_dense_pretrained,7176487,gigabook1,pytorch_1.2.0,32,10,cpu,1.5258027549131938,0.032258667746020285,100,-1,-1
resnet18_additional_dense_pretrained,11442759,gigabook1,pytorch_1.2.0,32,10,cpu,4.93289437408416,0.06716091872342503,100,-1,-1
resnet34_additional_dense_pretrained,21550919,gigabook1,pytorch_1.2.0,32,10,cpu,2.9293594301987116,0.013279444909532019,100,-1,-1
resnet50_additional_dense_pretrained,24568391,gigabook1,pytorch_1.2.0,32,10,cpu,1.544335176159581,0.003855932332782169,100,-1,-1
resnext50_additional_dense_pretrained,24040263,gigabook1,pytorch_1.2.0,32,10,cpu,1.3001081622282467,0.014808893102875243,100,-1,-1
beyer_mod_relu_depth_126_48,787087,gigabook1,pytorch_1.2.0,32,20,cpu,16.3498728411173,0.44500243331772005,100,-1,-1
mobilenetv2_small_additional_dense_pretrained,899695,gigabook1,pytorch_1.2.0,32,20,cpu,6.23989699556679,0.3395595719480721,100,-1,-1
mobilenetv2_large_additional_dense_pretrained,2888263,gigabook1,pytorch_1.2.0,32,20,cpu,0.9770516182816849,0.014462418521885342,100,-1,-1
efficientnet_b0_additional_dense_pretrained,4670851,gigabook1,pytorch_1.2.0,32,20,cpu,1.1144748590604865,0.01809888139692723,100,-1,-1
efficientnet_b1_additional_dense_pretrained,7176487,gigabook1,pytorch_1.2.0,32,20,cpu,0.77591436089041,0.01390224655709215,100,-1,-1
resnet18_additional_dense_pretrained,11442759,gigabook1,pytorch_1.2.0,32,20,cpu,2.419229002443781,0.032387830039174115,100,-1,-1
resnet34_additional_dense_pretrained,21550919,gigabook1,pytorch_1.2.0,32,20,cpu,1.445456023993463,0.013753618215351373,100,-1,-1
